,Anime title,url
0,彼得・格里爾的賢者時間 [R18+],https://ani.gamer.com.tw/animeVideo.php?sn=16400
1,魔物娘的醫生,https://ani.gamer.com.tw/animeVideo.php?sn=16237
2,小書痴的下剋上：為了成為圖書管理員不擇手段！第二季,https://ani.gamer.com.tw/animeVideo.php?sn=15914
3,出租女友,https://ani.gamer.com.tw/animeVideo.php?sn=16402
4,放學後堤防日誌,https://ani.gamer.com.tw/animeVideo.php?sn=15212
5,言靈少女,https://ani.gamer.com.tw/animeVideo.php?sn=15827
6,富豪刑警 Balance: UNLIMITED,https://ani.gamer.com.tw/animeVideo.php?sn=15248
7,果然我的青春戀愛喜劇搞錯了。完,https://ani.gamer.com.tw/animeVideo.php?sn=16396
8,別冊奧林匹克之環,https://ani.gamer.com.tw/animeVideo.php?sn=15528
9,IDOLiSH7 - 偶像星願 - Second BEAT！,https://ani.gamer.com.tw/animeVideo.php?sn=15194
10,魔神英雄傳 七魂的龍神丸,https://ani.gamer.com.tw/animeVideo.php?sn=16030
11,高校之神,https://ani.gamer.com.tw/animeVideo.php?sn=16252
12,DECA - DENCE,https://ani.gamer.com.tw/animeVideo.php?sn=16176
13,白貓 Project Zero Chronicle 零之紀元,https://ani.gamer.com.tw/animeVideo.php?sn=15939
14,魔王學院的不適任者～史上最強的魔王始祖，轉生就讀子孫們的學校～,https://ani.gamer.com.tw/animeVideo.php?sn=16234
15,新櫻花大戰,https://ani.gamer.com.tw/animeVideo.php?sn=15922
16,弩級戰隊 HXEROS,https://ani.gamer.com.tw/animeVideo.php?sn=16230
17,彼得・格里爾的賢者時間,https://ani.gamer.com.tw/animeVideo.php?sn=16398
18,籃球少年王,https://ani.gamer.com.tw/animeVideo.php?sn=15784
19,關於我轉生變成史萊姆這檔事,https://ani.gamer.com.tw/animeVideo.php?sn=16183
20,忍者收藏,https://ani.gamer.com.tw/animeVideo.php?sn=16404
21,A3!,https://ani.gamer.com.tw/animeVideo.php?sn=15870
22,卡片戰鬥!! 先導者 外傳 -if-,https://ani.gamer.com.tw/animeVideo.php?sn=16175
23,卡片鬥爭!! 先導者 外傳 -if-,https://ani.gamer.com.tw/animeVideo.php?sn=16034
24,GET UP！GET LIVE！＃GERA GERA,https://ani.gamer.com.tw/animeVideo.php?sn=16407
25,昨日之歌,https://ani.gamer.com.tw/animeVideo.php?sn=15916
26,刀劍神域 Alicization War of Underworld -THE LAST SEASON-,https://ani.gamer.com.tw/animeVideo.php?sn=16236
27,食戟之靈 豪之皿,https://ani.gamer.com.tw/animeVideo.php?sn=15286
28,辣妹與恐龍,https://ani.gamer.com.tw/animeVideo.php?sn=15425
29,BanG Dream！FILM LIVE,https://ani.gamer.com.tw/animeVideo.php?sn=15072
30,超人力霸王 Z,https://ani.gamer.com.tw/animeVideo.php?sn=16122
31,香蕉怪大叔 呐呐~呐　北海妖怪追追追！,https://ani.gamer.com.tw/animeVideo.php?sn=15782
32,天晴爛漫！,https://ani.gamer.com.tw/animeVideo.php?sn=15328
33,噴嚏大魔王 2020,https://ani.gamer.com.tw/animeVideo.php?sn=15581
34,座敷童子塌塌米醬,https://ani.gamer.com.tw/animeVideo.php?sn=15923
35,Re：從零開始的異世界生活 第二季,https://ani.gamer.com.tw/animeVideo.php?sn=16344
36,隱瞞之事,https://ani.gamer.com.tw/animeVideo.php?sn=15886
37,文豪與鍊金術師～審判的齒輪～,https://ani.gamer.com.tw/animeVideo.php?sn=15586
38,阿爾蒂,https://ani.gamer.com.tw/animeVideo.php?sn=15919
39,ARGONAVIS from BanG Dream！,https://ani.gamer.com.tw/animeVideo.php?sn=15920
40,辣妹與恐龍 真人版,https://ani.gamer.com.tw/animeVideo.php?sn=15828
41,巨人族的新娘,https://ani.gamer.com.tw/animeVideo.php?sn=16241
42,王者天下 第三季,https://ani.gamer.com.tw/animeVideo.php?sn=15300
43,GIBIATE 獵魔武士,https://ani.gamer.com.tw/animeVideo.php?sn=16394
44,小妖怪,https://ani.gamer.com.tw/animeVideo.php?sn=16195
45,魔法水果籃 第二季,https://ani.gamer.com.tw/animeVideo.php?sn=15770
46,天地無用！魎皇鬼 第 5 期,https://ani.gamer.com.tw/animeVideo.php?sn=15780
47,輝夜姬想讓人告白～天才們的戀愛頭腦戰～ 第二季,https://ani.gamer.com.tw/animeVideo.php?sn=15917
48,格萊普尼爾,https://ani.gamer.com.tw/animeVideo.php?sn=15912
49,繼怪怪守護神,https://ani.gamer.com.tw/animeVideo.php?sn=15913
50,非槍人生 NO GUNS LIFE 第二季,https://ani.gamer.com.tw/animeVideo.php?sn=16391
51,社長，戰鬥的時間到了！,https://ani.gamer.com.tw/animeVideo.php?sn=15824
52,魔法律事務所 第二季,https://ani.gamer.com.tw/animeVideo.php?sn=16295
53,Lapis Re：LiGHTs,https://ani.gamer.com.tw/animeVideo.php?sn=16232
54,闇影詩章,https://ani.gamer.com.tw/animeVideo.php?sn=15940
